uid,Name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type
EESL555,EESL,EESL,"Block N, Greater Kailash I, Greater Kailash, New Delhi, Delhi",28.55667773,77.2326006,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110048,south-delhi,,0,15 kW,₹10 per unit,DC,2,DC-001,['4W']
EESL555,EESL,EESL,"Block N, Greater Kailash I, Greater Kailash, New Delhi, Delhi",28.55667773,77.2326006,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110048,south-delhi,,2,22 kW,₹19 per unit,AC,2,IEC-62196-T2,['4W']
EESL555,EESL,EESL,"Block N, Greater Kailash I, Greater Kailash, New Delhi, Delhi",28.55667773,77.2326006,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110048,south-delhi,,2,22 kW,₹19 per unit,DC,2,IEC-62196-T2-COMBO,['4W']
EESL555,EESL,EESL,"Block N, Greater Kailash I, Greater Kailash, New Delhi, Delhi",28.55667773,77.2326006,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110048,south-delhi,,2,26 kW,₹19 per unit,DC,2,CHADEMO,['4W']
EESL576,EESL,EESL,"SDMC Parking, B6, Safderjung Enclave ",28.558938,77.19631,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110016,south-west-delhi,,0,15 kW,₹10 per unit,DC,1,DC-001,['4W']
EESL577,EESL,EESL,"SDMC Parking, SDA Market, Hauz Khas, New Delhi, Delhi 110016",28.546273,77.19711,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110016,south-west-delhi,,0,15 kW,₹10 per unit,DC,1,DC-001,['4W']
EESL578,EESL,EESL,"SDMC Parking, Aurbindo Market Place,Hauz Khas, New Delhi, Delhi 110016 ",28.55205918,77.20325422,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110016,south-west-delhi,,0,15 kW,₹10 per unit,DC,1,DC-001,['4W']
EESL579,EESL,EESL,"SDMC Parking, R Block, GK-1, DELHI-110016",28.547217,77.244324,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110016,south-west-delhi,,0,15 kW,₹10 per unit,DC,1,DC-001,['4W']
EESL579,EESL,EESL,"SDMC Parking, R Block, GK-1, DELHI-110016",28.547217,77.244324,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110016,south-west-delhi,,0,9.9 kW,₹10 per unit,AC,3,BEVC-AC001,"['2W', '3W', '4W']"
EESL630,EESL,EESL,"SDMC Parking, Near Gold Gym, PVR Priya, Vasant Vihar, New Delhi",28.558244,77.16444,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110057,south-west-delhi,,0,15 kW,₹10 per unit,DC,2,DC-001,['4W']
EESL631,EESL,EESL,"SDMC Parking, Feroze Gandhi Road, Lajpat Nagar, New Delhi",28.56793,77.242612,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110024,south-delhi,,0,15 kW,₹10 per unit,DC,1,DC-001,['4W']
EESL632,EESL,EESL,"Double Story Market, Maherchand Lodhi Road, New Delhi - 110003",28.58107736,77.22719863,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110003,central-delhi,,0,15 kW,₹10 per unit,DC,1,DC-001,['4W']
EESL632,EESL,EESL,"Double Story Market, Maherchand Lodhi Road, New Delhi - 110003",28.58107736,77.22719863,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110003,central-delhi,,2,22 kW,₹10 per unit,DC,2,IEC-62196-T2-COMBO,['4W']
EESL632,EESL,EESL,"Double Story Market, Maherchand Lodhi Road, New Delhi - 110003",28.58107736,77.22719863,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110003,central-delhi,,2,26 kW,₹26 per unit,DC,2,CHADEMO,['4W']
EESL632,EESL,EESL,"Double Story Market, Maherchand Lodhi Road, New Delhi - 110003",28.58107736,77.22719863,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110003,central-delhi,,2,22 kW,₹10 per unit,AC,2,IEC-62196-T2,['4W']
EESL633,EESL,EESL,"SDMC Parking, Veer Savarkar Marg Lajpat Nagar, New Delhi - 110024 ",28.569119,77.244011,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110024,south-delhi,,0,15 kW,₹10 per unit,DC,1,DC-001,['4W']
EESL716,EESL,EESL,"Back side Sushma Swaraj Bhawan build parking ,New Delhi ",28.59566102,77.18169261,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110001,central-delhi,,0,22 kW,₹19 per unit,AC,1,IEC-62196-T2,['4W']
EESL716,EESL,EESL,"Back side Sushma Swaraj Bhawan build parking ,New Delhi ",28.59566102,77.18169261,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110001,central-delhi,,0,22 kW,₹19 per unit,DC,1,IEC-62196-T2-COMBO,['4W']
EESL716,EESL,EESL,"Back side Sushma Swaraj Bhawan build parking ,New Delhi ",28.59566102,77.18169261,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110001,central-delhi,,0,26 kW,₹19 per unit,DC,1,CHADEMO,['4W']
EESL971,EESL,EESL,"SDMC PArking, Dwarka Sec-12, New Delhi-110078",28.59211693,77.04188313,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110078,west-delhi,,1,22 kW,₹19 per unit,AC,1,IEC-62196-T2,['4W']
EESL971,EESL,EESL,"SDMC PArking, Dwarka Sec-12, New Delhi-110078",28.59211693,77.04188313,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110078,west-delhi,,0,22 kW,₹19 per unit,DC,1,IEC-62196-T2-COMBO,['4W']
EESL971,EESL,EESL,"SDMC PArking, Dwarka Sec-12, New Delhi-110078",28.59211693,77.04188313,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110078,west-delhi,,1,26 kW,₹19 per unit,DC,1,CHADEMO,['4W']
EESL972,EESL,EESL,"SDMC PArking, Dwarka Sec-06, New Delhi-110078",28.59193441,77.05855004,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110078,west-delhi,,1,22 kW,₹19 per unit,DC,2,IEC-62196-T2-COMBO,['4W']
EESL972,EESL,EESL,"SDMC PArking, Dwarka Sec-06, New Delhi-110078",28.59193441,77.05855004,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110078,west-delhi,,2,26 kW,₹19 per unit,DC,2,CHADEMO,['4W']
EESL972,EESL,EESL,"SDMC PArking, Dwarka Sec-06, New Delhi-110078",28.59193441,77.05855004,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110078,west-delhi,,2,22 kW,₹19 per unit,AC,2,IEC-62196-T2,['4W']
EESL973,EESL,EESL,"SDMC Parking, The Janak Commercial Complex, Janakpuri, Delhi-110058",28.610622,77.094787,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110058,west-delhi,,2,22 kW,₹19 per unit,AC,2,IEC-62196-T2,['4W']
EESL973,EESL,EESL,"SDMC Parking, The Janak Commercial Complex, Janakpuri, Delhi-110058",28.610622,77.094787,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110058,west-delhi,,2,22 kW,₹19 per unit,DC,2,IEC-62196-T2-COMBO,['4W']
EESL973,EESL,EESL,"SDMC Parking, The Janak Commercial Complex, Janakpuri, Delhi-110058",28.610622,77.094787,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110058,west-delhi,,2,26 kW,₹19 per unit,DC,2,CHADEMO,['4W']
EESL973,EESL,EESL,"SDMC Parking, The Janak Commercial Complex, Janakpuri, Delhi-110058",28.610622,77.094787,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110058,west-delhi,,0,15 kW,₹10 per unit,DC,1,DC-001,['4W']
EESL981,EESL,EESL,vidyasagar institute of Mental hospital. Neuro & Allied science at Vimhans hospital,28.5697722,77.2485642,New Delhi,India,00:00:00,23:59:59,https://ev.delhitransport.in/static/logo/eesl.png,Unstaffed,"E-wallet, cash","[""7906001402""]",charging,110065,south-delhi,,0,22 kW,₹19 per unit,AC,1,IEC-62196-T2,['4W']
